OBJECTID,ATTRIBUTE,WETLAND_TYPE,ACRES,GLOBALID,ShapeSTArea,ShapeSTLength
117,PFO1A,Freshwater Forested/Shrub Wetland,7.6800125,{7A6E83EF-5D32-4D87-AD0A-A96C28E6F4FA},31055.70876,846.9995925
118,PFO1C,Freshwater Forested/Shrub Wetland,1.81671694,{729F6A4F-1EFF-4D71-95D3-EA759E328849},7346.267609,364.5061359
119,PFO1/4B,Freshwater Forested/Shrub Wetland,7.6065613,{F7582343-D43B-4F93-AEF9-1052D8197E07},30768.58246,1125.634201
120,PEMC,Freshwater Emergent Wetland,0.14368359,{D732EB48-ACD4-4F49-B652-5E629EBC78DD},581.0015411,89.8732205
121,PEMC,Freshwater Emergent Wetland,14.8760757,{2D193592-DC2C-43AA-B851-7E2A89DF2571},60159.39755,1434.593961
122,PEMC,Freshwater Emergent Wetland,0.09985922,{1962BDB4-5F64-445E-BFB2-EBC445C123F8},401.9056473,71.15269018
123,PFOB,Freshwater Forested/Shrub Wetland,1.1856805,{D9AEBC13-CF5B-4BD9-8E09-0911A59EC09A},4796.781403,303.2252358
124,PUBGx,Freshwater Pond,0.14211449,{01187AC2-C838-43A9-858C-2022BE1C7135},574.6575928,88.89106376
125,PSSC,Freshwater Forested/Shrub Wetland,0.96396302,{CD402953-270A-4B99-B28F-19B218088F7A},3898.256836,238.5053281
126,PSS1C,Freshwater Forested/Shrub Wetland,1.11833872,{D1DB3C72-641E-410D-A57E-0978C0A2E06C},4522.449814,281.4607847
127,PUBG,Freshwater Pond,0.55516469,{3BC718D8-D505-4F9A-AEC1-D815AFC77EBF},2244.877747,181.1767113
128,PFO1C,Freshwater Forested/Shrub Wetland,2.05686874,{D64BFB66-FE64-425C-A155-C6C25D2AABB7},8318.366409,395.2263883
129,PUBH,Freshwater Pond,0.74984863,{F7B188DB-3974-4F55-808A-90587179BBC3},3032.561401,228.9988388
130,Pf,Other,0.48264259,{740ABFCD-D62C-41CA-A613-67E8EA2B440D},1952.843384,179.7200658
131,PSS1C,Freshwater Forested/Shrub Wetland,0.77033575,{59C83224-18AF-47D5-B5D3-A28C43B163E8},3114.964127,225.4426507
132,PEMC,Freshwater Emergent Wetland,1.39299839,{C35CA964-82DC-4EEC-8524-0A9435F0684D},5633.865685,440.7009681
133,PABG,Freshwater Pond,0.42480789,{44971192-5353-4F90-BDBD-64560D862483},1718.452393,176.619758
134,PSS1C,Freshwater Forested/Shrub Wetland,3.16660993,{D116A0E7-542F-4357-92B0-0939C02129BB},12804.58943,468.771332
135,PEMC,Freshwater Emergent Wetland,0.2057445,{00862783-5D1C-4131-9DE1-59D8406F32A6},832.1931763,108.6404271
136,PFO1C,Freshwater Forested/Shrub Wetland,1.39485215,{15CA2B85-4A63-43AA-B82B-E6CDBF903F24},5641.647034,1010.059551
137,PEMC,Freshwater Emergent Wetland,0.58674029,{1BBC42A3-E76E-4801-AA89-750412D33972},2373.176926,185.5535072
138,PSS1A,Freshwater Forested/Shrub Wetland,0.93776585,{E529F9AA-A4E3-4ABC-A0E6-5D9B077FE9FE},3792.795723,284.3221589
139,PEMC,Freshwater Emergent Wetland,0.37181697,{2BF0654E-D208-4674-B37B-137FB7E5918A},1503.494095,143.7125703
140,PFO4B,Freshwater Forested/Shrub Wetland,49.37891932,{6440E619-908E-4B77-AD4C-9F613242D554},199671.598,2537.807998
141,PFO1C,Freshwater Forested/Shrub Wetland,0.22817753,{C7E59F59-4631-4161-B0DF-19890582503B},922.6687164,120.0837642
142,PFO/SSB,Freshwater Forested/Shrub Wetland,132.4236963,{EA300F6F-7869-4F00-9599-083829108AF0},535554.8071,5705.809834
143,PEMC,Freshwater Emergent Wetland,0.99300089,{E8EE4554-884F-4AF0-9BF3-FD924F79B980},4017.81044,238.5019605
144,PFOC,Freshwater Forested/Shrub Wetland,129.1348219,{E9FE430E-FA77-4CE4-BF47-9D2976D5FF90},522546.4858,8363.823722
145,PUBGx,Freshwater Pond,10.29739392,{7F028E4E-DAA6-4807-8720-22B4E66B55B3},41640.24397,1095.176464
146,PFO/SSB,Freshwater Forested/Shrub Wetland,0.83202574,{096C1CD5-C702-45C3-AA2D-DF7A8D4060C8},3368.371521,235.1510404
147,PEMC,Freshwater Emergent Wetland,0.28208751,{1C4DFD3C-9277-414D-874D-7D7F058CE1F6},1140.655075,145.9339396
148,PUBGx,Freshwater Pond,0.27101671,{E427C6C6-FC52-4282-80A3-C6A0E2553EFA},1096.00441,126.4804182
149,PFO1C,Freshwater Forested/Shrub Wetland,1.53654543,{64A5A8CD-A64C-4818-802E-DA09B1ECD2FF},6213.635284,411.6812928
150,PFO4/EM1B,Freshwater Forested/Shrub Wetland,8.6398048,{4C5CDC98-24D1-4673-9F9A-42F9AB075985},34960.15024,816.8883311
151,PFO1C,Freshwater Forested/Shrub Wetland,1.0587499,{3B39FB97-7213-4C18-BD92-3066C5CBD908},4284.177193,255.5795021
152,PFO1C,Freshwater Forested/Shrub Wetland,2.4400762,{D818E2C9-1ECE-4A8B-B74A-BDAB79514892},9866.935036,889.4587413
153,PEM/UBH,Freshwater Emergent Wetland,17.5910982,{733C5F5D-7B8C-41F9-B8C2-A17E032E0B17},71146.08389,1518.611284
154,PSS1C,Freshwater Forested/Shrub Wetland,18.35533629,{8E34D7C1-3553-445A-B221-A56C38D34D30},74245.68829,1508.583442
155,PEMG,Freshwater Emergent Wetland,0.38936273,{BB3326D1-C166-43A4-A8A1-CC9A2E5A0F64},1574.438446,158.1710118
156,PFO1C,Freshwater Forested/Shrub Wetland,1.77064742,{92CEBD45-B7AD-493F-AE83-1A0FBF0B74F8},7162.103737,477.1375728
157,PUBHx,Freshwater Pond,0.95426811,{FAA8CC18-C343-4770-B3B2-717638C12693},3860.103149,361.2008977
158,PFO1C,Freshwater Forested/Shrub Wetland,52.38864265,{721B91DF-3ADA-4B08-83F4-2EAE12FB393B},211862.2987,6911.531502
159,PFO1A,Freshwater Forested/Shrub Wetland,1.86882973,{32E26F84-076A-4FED-943F-B95CD4665EE5},7557.191559,384.0557436
160,PEMF,Freshwater Emergent Wetland,3.91209925,{40E9000B-3421-48FE-AC48-EC4E27730FDA},15819.78186,531.8275072
161,PFO4/1B,Freshwater Forested/Shrub Wetland,4.05646896,{FA8D50E4-6979-4933-AEA4-4BCF023BA341},16414.44521,541.2059239
162,PSS3B,Freshwater Forested/Shrub Wetland,0.24571392,{953E0A9B-1944-40D4-9481-F14029203CA9},993.7394714,118.9251929
163,PFO1C,Freshwater Forested/Shrub Wetland,4.50675311,{9997C19E-2ACB-4864-8179-5BFA1C2BC943},18225.28893,649.592971
164,PSS/FO1C,Freshwater Forested/Shrub Wetland,4.05331061,{12D48F58-8AB3-474E-AE78-438FEE38CE76},16390.33315,564.3886657
165,PFO/SSB,Freshwater Forested/Shrub Wetland,216.7278699,{5649828F-47C5-40C8-AE75-D47C629DB838},876370.1079,5614.695565
166,PUBG,Freshwater Pond,1.65726,{5CFA7830-99AF-44ED-B88C-DE4FF23F114F},6701.687378,380.1026924
167,PSSC,Freshwater Forested/Shrub Wetland,1.43783413,{4185B001-E806-4DC5-BF2A-726505CD6EF2},5814.106842,289.2706701
